Country,Amount (USD),Transaction Type,Industry,Destination Country,Reported by Authority,Source of Money,Money Laundering Risk Score,Shell Companies Involved,Person Involved
Russia,3595673.09,Property Purchase,Construction,Switzerland,0,0,High,6,8222
UK,4949949.96,Property Purchase,Luxury Goods,Switzerland,0,0,High,0,5463
UK,3580997.68,Cash Withdrawal,Casinos,USA,1,0,High,8,845
Singapore,2048156.5,Offshore Transfer,Arms Trade,Russia,1,0,High,0,9104
Singapore,2665284.62,Stocks Transfer,Construction,Brazil,0,1,High,2,7001
USA,1234633.46,Cryptocurrency,Luxury Goods,UAE,0,0,High,4,9629
Russia,959217.66,Cryptocurrency,Construction,Brazil,0,1,Low,0,287
USA,4790785.92,Cash Withdrawal,Oil & Gas,UAE,0,1,Low,4,4957
UAE,4789712.31,Cash Withdrawal,Real Estate,UAE,0,0,Low,0,7231
Russia,4825364.12,Property Purchase,Luxury Goods,UAE,1,0,Low,6,4693
USA,3755297.9,Cash Withdrawal,Casinos,India,0,0,Low,8,3925
India,430201.26,Cryptocurrency,Finance,Russia,0,0,Low,0,9291
South Africa,4911697.03,Offshore Transfer,Luxury Goods,USA,1,0,High,5,7191
UAE,1212661.76,Offshore Transfer,Real Estate,UAE,0,1,Low,8,147
South Africa,3622205.74,Offshore Transfer,Casinos,Brazil,1,1,Low,0,3065
China,4546894.45,Stocks Transfer,Luxury Goods,Switzerland,1,0,Low,1,9199
USA,2394397.55,Offshore Transfer,Real Estate,Russia,0,0,High,1,8234
UAE,157330.66,Property Purchase,Construction,China,0,0,Low,6,251
Russia,1672779.41,Stocks Transfer,Real Estate,USA,0,0,Low,6,2388
Russia,2125434.38,Cash Withdrawal,Real Estate,UK,1,0,High,0,8161
India,3702466.59,Stocks Transfer,Construction,USA,0,0,Low,2,8466
UK,2513043.59,Cryptocurrency,Casinos,Switzerland,1,0,Low,7,3922
Singapore,3087232.12,Cryptocurrency,Oil & Gas,Singapore,0,1,Low,0,1144
UK,4949782.29,Offshore Transfer,Casinos,South Africa,1,0,High,8,5639
Brazil,1364979.38,Offshore Transfer,Finance,South Africa,1,1,High,8,5683
Switzerland,2261718.59,Stocks Transfer,Real Estate,South Africa,0,0,Low,7,7725
UAE,1218543.64,Offshore Transfer,Oil & Gas,India,0,0,Low,6,5560
South Africa,3372852.25,Stocks Transfer,Casinos,UK,0,0,High,2,9621
Brazil,3086873.26,Offshore Transfer,Finance,UK,1,0,Low,3,7030
China,4841806.76,Property Purchase,Construction,USA,0,1,High,7,6833
Russia,3046776.95,Offshore Transfer,Real Estate,India,0,0,High,1,2828
Brazil,1905630.53,Offshore Transfer,Construction,South Africa,0,0,High,5,2085
USA,4167262.87,Property Purchase,Finance,Switzerland,0,1,High,8,8158
China,1573869.83,Cash Withdrawal,Luxury Goods,India,0,1,Low,0,3864
South Africa,548926.92,Property Purchase,Real Estate,Singapore,0,0,Low,5,4723
India,4078229.28,Property Purchase,Real Estate,Singapore,1,1,High,1,7319
South Africa,2323506.47,Cash Withdrawal,Arms Trade,Switzerland,0,0,High,8,9941
Switzerland,2446701.5,Offshore Transfer,Luxury Goods,Switzerland,0,0,High,1,3222
UAE,3206027.76,Stocks Transfer,Finance,India,1,1,High,0,5591
India,3199930.41,Offshore Transfer,Construction,Brazil,1,0,Low,1,4079
UK,3917200.96,Property Purchase,Real Estate,India,0,1,Low,2,3707
Russia,3328092.68,Stocks Transfer,Finance,Switzerland,0,0,Low,5,6596
USA,2954632.07,Property Purchase,Casinos,Singapore,0,0,High,5,5938
UAE,1704034.46,Cash Withdrawal,Arms Trade,China,1,0,Low,4,4019
Brazil,1429544.33,Stocks Transfer,Luxury Goods,UAE,0,0,Low,5,3538
UAE,1712785.74,Offshore Transfer,Finance,Switzerland,1,0,High,9,5872
Brazil,2662969.5,Cryptocurrency,Real Estate,India,0,1,High,2,1864
USA,4665098.76,Cash Withdrawal,Finance,Brazil,0,0,High,9,9699
Singapore,4564017.29,Offshore Transfer,Real Estate,South Africa,1,0,Low,6,6486
Switzerland,4488399.08,Cryptocurrency,Casinos,Switzerland,0,0,High,4,3440
China,4324962.06,Cash Withdrawal,Oil & Gas,Brazil,0,0,Low,8,4505
UAE,121237.81,Offshore Transfer,Casinos,Singapore,1,0,Low,7,9472
Russia,1142384.13,Property Purchase,Oil & Gas,China,0,0,Low,8,784
UAE,4499419.69,Property Purchase,Oil & Gas,China,0,0,Low,4,6548
South Africa,3356733.62,Cash Withdrawal,Real Estate,South Africa,0,0,High,4,7394
Russia,581797.62,Stocks Transfer,Casinos,UK,0,0,High,3,8995
Singapore,3341695.68,Offshore Transfer,Construction,Singapore,0,0,High,9,5800
Switzerland,1520490.87,Offshore Transfer,Luxury Goods,Singapore,0,1,Low,9,1518
Switzerland,2597187.9,Cash Withdrawal,Oil & Gas,South Africa,0,0,Low,5,4802
UK,1745801.55,Offshore Transfer,Construction,UK,0,0,High,0,1417
Singapore,2889663.79,Cryptocurrency,Casinos,USA,0,0,High,4,1718
India,4262172.47,Offshore Transfer,Arms Trade,Brazil,0,0,High,7,4890
Russia,2076912.76,Stocks Transfer,Construction,USA,0,1,High,8,4313
Brazil,1009106.81,Stocks Transfer,Oil & Gas,South Africa,0,0,Low,7,1875
China,635069.87,Cryptocurrency,Arms Trade,South Africa,0,0,High,6,4665
South Africa,3525830.6,Cryptocurrency,Real Estate,China,0,0,Low,8,2352
UAE,4409106.74,Cash Withdrawal,Luxury Goods,Brazil,0,0,High,8,7306
Switzerland,4594025.86,Cash Withdrawal,Arms Trade,India,0,0,Low,1,7245
India,4298192.14,Cryptocurrency,Luxury Goods,Switzerland,0,1,Low,8,5407
Russia,2136599.68,Stocks Transfer,Arms Trade,UAE,0,1,High,7,171
Singapore,493291.68,Cash Withdrawal,Casinos,Brazil,0,1,Low,7,9807
China,395799.3,Stocks Transfer,Real Estate,China,1,1,High,6,5491
Russia,690494.83,Offshore Transfer,Construction,USA,1,0,Low,2,5084
South Africa,4782712.02,Property Purchase,Oil & Gas,UAE,0,0,High,9,3883
India,1596338.37,Cryptocurrency,Luxury Goods,China,0,1,Low,4,6534
UK,2200411.99,Cash Withdrawal,Construction,Russia,0,0,Low,1,8422
China,4829913.59,Stocks Transfer,Luxury Goods,China,0,0,Low,5,5745
Brazil,706895.93,Cash Withdrawal,Luxury Goods,USA,0,0,Low,0,3158
UK,4886661.38,Stocks Transfer,Finance,UAE,0,1,High,3,5720
UK,1423564.55,Offshore Transfer,Real Estate,UK,1,1,High,1,8918
China,1455871.44,Property Purchase,Construction,Russia,0,1,Low,0,3686
UAE,1541423.2,Cryptocurrency,Real Estate,South Africa,0,0,Low,9,3316
USA,780641.5,Stocks Transfer,Real Estate,USA,0,0,High,3,7196
UAE,1199326.78,Offshore Transfer,Arms Trade,India,0,0,Low,5,8590
China,2088483.97,Cash Withdrawal,Casinos,Switzerland,0,0,High,7,4003
Brazil,4911418.96,Stocks Transfer,Real Estate,South Africa,0,1,Low,5,8822
India,4615455.06,Stocks Transfer,Arms Trade,UK,0,0,High,4,9629
Singapore,1198098.04,Cash Withdrawal,Real Estate,UAE,0,0,Low,1,4850
China,3501939.31,Stocks Transfer,Oil & Gas,Switzerland,1,0,High,0,5196
Switzerland,2710554.16,Cash Withdrawal,Luxury Goods,Russia,0,0,Low,5,1501
India,4374477.01,Stocks Transfer,Finance,India,0,0,Low,1,1965
China,2543965.05,Cryptocurrency,Arms Trade,Singapore,0,1,Low,5,4797
USA,2625948,Offshore Transfer,Real Estate,USA,0,0,Low,0,1131
Singapore,2150247.05,Stocks Transfer,Oil & Gas,UAE,0,0,Low,2,8634
Singapore,1975104.87,Stocks Transfer,Construction,UAE,0,0,Low,0,9351
Switzerland,423251.25,Offshore Transfer,Luxury Goods,USA,0,0,Low,7,4825
India,782190.99,Property Purchase,Real Estate,USA,0,1,Low,2,4559
Switzerland,4271104.33,Cryptocurrency,Casinos,Switzerland,0,0,High,8,225
Brazil,4370076.79,Offshore Transfer,Finance,UK,1,0,High,6,8575
South Africa,932189.72,Cryptocurrency,Real Estate,Russia,0,0,Low,3,8824
South Africa,1198744.88,Property Purchase,Construction,Russia,0,1,Low,9,9182
Brazil,3146937.13,Cash Withdrawal,Luxury Goods,China,0,0,High,6,6828
Russia,592590.44,Cash Withdrawal,Casinos,China,0,1,High,5,2232
UK,262505.65,Offshore Transfer,Arms Trade,Brazil,0,1,Low,9,3646
Switzerland,3633850.05,Cryptocurrency,Oil & Gas,UAE,0,0,High,5,8990
China,3313478.5,Stocks Transfer,Real Estate,Switzerland,0,0,Low,5,1340
Russia,3245985.63,Offshore Transfer,Finance,UK,0,0,Low,6,636
Russia,4402291.47,Property Purchase,Real Estate,Singapore,0,0,Low,6,1839
Singapore,2269735.76,Cryptocurrency,Luxury Goods,Singapore,0,0,Low,7,4243
China,1923094.55,Property Purchase,Construction,India,0,0,High,8,4896
Russia,465660.7,Cryptocurrency,Construction,China,1,1,High,3,9598
Switzerland,4569999.17,Cash Withdrawal,Casinos,Russia,0,0,Low,2,427
Switzerland,2909784.88,Stocks Transfer,Finance,Switzerland,0,1,High,6,6
Russia,310097.6,Offshore Transfer,Casinos,India,1,0,High,5,2719
UK,2190593.54,Offshore Transfer,Casinos,South Africa,0,0,High,5,948
China,4870635.66,Property Purchase,Casinos,UK,0,1,High,1,5888
UK,289789.4,Cryptocurrency,Construction,Russia,0,0,High,1,7504
USA,3813677.27,Cash Withdrawal,Casinos,Singapore,0,0,Low,8,2032
Brazil,2114922.79,Property Purchase,Arms Trade,South Africa,1,0,Low,8,589
South Africa,1497141.25,Property Purchase,Construction,Singapore,0,0,High,9,8733
Switzerland,2041733.19,Offshore Transfer,Arms Trade,India,1,1,Low,4,4698
India,355681.14,Cash Withdrawal,Construction,India,0,0,Low,0,2715
South Africa,4434814.1,Cryptocurrency,Arms Trade,Singapore,0,1,Low,6,3037
India,2916080.45,Cryptocurrency,Real Estate,Singapore,0,0,High,8,2035
UAE,875329.7,Stocks Transfer,Casinos,USA,1,0,Low,8,4485
Brazil,3020221.06,Offshore Transfer,Arms Trade,India,1,0,High,0,459
Singapore,2303955.09,Property Purchase,Luxury Goods,Switzerland,0,0,High,7,7909
Switzerland,733682.69,Cryptocurrency,Luxury Goods,South Africa,0,0,High,4,5042
South Africa,4396230.84,Offshore Transfer,Real Estate,Brazil,0,0,High,1,9753
Switzerland,4087959.41,Cash Withdrawal,Casinos,Russia,1,0,High,0,1155
Switzerland,10530.49,Offshore Transfer,Real Estate,UAE,0,1,High,3,5430
China,517627.15,Stocks Transfer,Finance,Switzerland,0,0,Low,3,312
UK,2682116.86,Cryptocurrency,Real Estate,India,0,0,Low,6,9393
India,640806.29,Property Purchase,Casinos,China,0,1,Low,3,8088
Singapore,1171127.45,Stocks Transfer,Luxury Goods,UAE,0,0,Low,9,8564
China,695610.29,Cash Withdrawal,Finance,Singapore,0,0,Low,7,4199
Singapore,1465911.68,Cryptocurrency,Oil & Gas,India,1,1,Low,2,3529
UAE,655409.17,Stocks Transfer,Finance,Russia,0,0,High,3,8153
UAE,2992363.84,Property Purchase,Oil & Gas,UK,0,1,Low,7,9758
South Africa,4311000.16,Cryptocurrency,Finance,China,0,1,High,2,9938
UK,1640906.79,Cryptocurrency,Real Estate,UK,0,1,High,3,2607
USA,3058393.12,Cryptocurrency,Real Estate,Switzerland,0,0,High,4,9642
China,4103256.62,Cash Withdrawal,Arms Trade,India,0,1,High,3,6139
China,4878014.67,Cryptocurrency,Real Estate,Brazil,0,0,High,6,1416
Singapore,3565573.54,Cash Withdrawal,Luxury Goods,India,0,0,Low,7,9322
South Africa,809645.1,Cash Withdrawal,Construction,Russia,1,0,High,2,311
UAE,4264892.35,Cryptocurrency,Casinos,USA,0,0,Low,1,2819
USA,1087960.34,Property Purchase,Real Estate,Russia,0,0,Low,6,3015
USA,1951194.08,Offshore Transfer,Arms Trade,China,0,1,High,8,8004
Singapore,3902892.76,Offshore Transfer,Arms Trade,India,0,0,High,0,702
UAE,2744364.46,Stocks Transfer,Real Estate,Singapore,0,0,Low,5,2833
Singapore,3571790.91,Stocks Transfer,Casinos,UK,0,0,High,4,8906
India,2468061.94,Stocks Transfer,Real Estate,Switzerland,0,0,High,7,6127
UK,2194220.64,Offshore Transfer,Luxury Goods,Switzerland,0,0,Low,1,3723
Singapore,1311398.39,Cash Withdrawal,Arms Trade,UK,0,0,Low,4,5318
Switzerland,2787343.19,Property Purchase,Arms Trade,UK,0,0,Low,5,1875
Russia,4297919.59,Cash Withdrawal,Real Estate,Singapore,1,0,Low,3,2525
Brazil,4148832.2,Stocks Transfer,Arms Trade,Brazil,0,0,High,5,2517
Singapore,1797280.09,Offshore Transfer,Finance,Brazil,1,1,High,6,8639
South Africa,615678.46,Cryptocurrency,Luxury Goods,Switzerland,0,1,High,6,5579
Russia,4224162.43,Cryptocurrency,Casinos,USA,0,0,Low,7,6774
UAE,2655580.6,Stocks Transfer,Real Estate,Singapore,0,0,High,0,4996
UK,238197.63,Stocks Transfer,Finance,Switzerland,0,0,High,7,1508
Russia,1901978.86,Stocks Transfer,Construction,South Africa,0,0,Low,5,4128
South Africa,83736.59,Property Purchase,Arms Trade,South Africa,0,0,High,8,3307
China,1003009.99,Cryptocurrency,Construction,UAE,0,1,Low,7,9369
South Africa,2065926.91,Stocks Transfer,Oil & Gas,Brazil,0,1,Low,6,4444
Russia,2059791.58,Offshore Transfer,Construction,Russia,1,0,High,2,5369
USA,3492710.63,Cash Withdrawal,Oil & Gas,UK,1,1,Low,5,8394
Russia,3578215.86,Stocks Transfer,Luxury Goods,Singapore,1,1,High,7,8502
South Africa,4629726.06,Property Purchase,Luxury Goods,UK,0,1,High,0,4097
USA,1405446.83,Offshore Transfer,Oil & Gas,Russia,1,0,High,4,3654
Switzerland,104635.19,Stocks Transfer,Oil & Gas,India,1,0,High,3,7785
Russia,2833011.43,Stocks Transfer,Luxury Goods,South Africa,0,1,Low,3,1387
India,2028677.86,Cash Withdrawal,Luxury Goods,South Africa,0,0,High,8,5784
Brazil,2500656.34,Cryptocurrency,Arms Trade,Switzerland,0,1,High,8,3135
China,2704748.43,Cash Withdrawal,Construction,Russia,0,1,High,5,1553
UAE,14082.53,Cryptocurrency,Luxury Goods,USA,0,0,Low,5,3249
USA,3186318.6,Cash Withdrawal,Luxury Goods,India,0,0,Low,7,3281
India,764533.69,Property Purchase,Casinos,China,0,0,Low,1,8392
Russia,3929777.5,Cash Withdrawal,Oil & Gas,Singapore,1,0,Low,6,154
India,1459337.9,Property Purchase,Real Estate,Switzerland,1,0,High,2,4715
South Africa,347852.64,Offshore Transfer,Oil & Gas,UAE,0,0,High,9,8636
UK,2281461.05,Property Purchase,Real Estate,Singapore,0,1,High,3,6586
UK,609619.85,Offshore Transfer,Construction,India,0,1,Low,5,6127
Switzerland,3346903.98,Cryptocurrency,Finance,Brazil,1,0,Low,2,2369
USA,752774.45,Offshore Transfer,Construction,Russia,0,1,High,4,9345
USA,3034552.44,Cryptocurrency,Real Estate,India,1,1,High,3,9295
India,4694489.12,Property Purchase,Luxury Goods,China,0,0,High,0,1814
UK,748388.94,Cash Withdrawal,Real Estate,UK,0,0,High,3,5981
Brazil,4690055.62,Stocks Transfer,Construction,Singapore,1,0,Low,0,3525
UK,3561346.17,Cryptocurrency,Finance,Russia,0,0,Low,4,8537
India,157628.53,Cash Withdrawal,Luxury Goods,India,0,0,Low,6,9273
India,3266784.05,Property Purchase,Luxury Goods,Russia,0,0,High,7,8075
Brazil,1783492.65,Cryptocurrency,Arms Trade,Russia,0,0,Low,9,2633
Switzerland,1416628.1,Offshore Transfer,Real Estate,Russia,1,1,High,5,5590
South Africa,1288189.77,Property Purchase,Construction,UK,1,0,High,1,5941
South Africa,1982818.22,Offshore Transfer,Real Estate,India,1,0,Low,2,5350
Singapore,3307355.27,Stocks Transfer,Casinos,India,0,0,Low,7,6585
Brazil,2125107.79,Cryptocurrency,Construction,Brazil,0,0,High,4,3092
South Africa,2206515.64,Property Purchase,Real Estate,Russia,0,0,High,7,8930
Singapore,3681593.94,Property Purchase,Finance,UAE,0,1,Low,0,9703
UK,617452.77,Cash Withdrawal,Luxury Goods,Singapore,0,0,Low,7,5037
India,3532573.08,Stocks Transfer,Construction,India,0,0,Low,4,7781
Brazil,3922281.93,Property Purchase,Arms Trade,Brazil,0,0,High,9,4279
Switzerland,826062.77,Cryptocurrency,Construction,China,1,0,High,0,2703
Brazil,3686226.72,Offshore Transfer,Oil & Gas,China,0,0,High,5,8835
South Africa,321869.46,Stocks Transfer,Arms Trade,Russia,1,0,Low,3,4689
China,1850813.22,Property Purchase,Casinos,South Africa,0,0,Low,5,6052
Brazil,3211970.28,Offshore Transfer,Arms Trade,USA,1,1,High,5,8578
Switzerland,3239472.86,Property Purchase,Arms Trade,Singapore,1,1,Low,6,733
Brazil,3585834.54,Stocks Transfer,Luxury Goods,Singapore,0,0,High,3,8874
India,1924395.52,Offshore Transfer,Construction,South Africa,1,1,High,5,1143
USA,4252094.31,Stocks Transfer,Arms Trade,South Africa,0,0,Low,0,9246
Russia,764259.02,Stocks Transfer,Oil & Gas,Switzerland,0,0,High,4,5141
USA,2565433.84,Property Purchase,Real Estate,Switzerland,1,0,Low,9,5491
Russia,1675765.77,Stocks Transfer,Oil & Gas,UK,0,0,Low,3,8157
UK,2695711.14,Cash Withdrawal,Oil & Gas,USA,0,0,Low,2,1278
South Africa,3704264.78,Cash Withdrawal,Finance,Russia,1,0,Low,7,2027
South Africa,4617777.08,Offshore Transfer,Finance,Russia,0,0,Low,1,782
South Africa,1730801.08,Cryptocurrency,Luxury Goods,South Africa,0,0,High,9,8235
China,1679600.65,Cryptocurrency,Construction,India,0,1,High,7,4169
China,192312.26,Offshore Transfer,Casinos,Russia,1,0,Low,6,7949
Brazil,1798467.19,Property Purchase,Real Estate,Singapore,0,0,Low,8,6244
UK,978731.76,Cryptocurrency,Arms Trade,India,0,0,Low,7,9498
India,2041253.34,Stocks Transfer,Luxury Goods,India,0,0,Low,4,2515
UAE,3218497.44,Cryptocurrency,Oil & Gas,India,0,0,Low,2,7404
Russia,3646396.43,Stocks Transfer,Real Estate,Singapore,0,1,Low,7,3834
UK,3319988.57,Cryptocurrency,Oil & Gas,Switzerland,0,0,Low,3,7034
UAE,3394918.85,Cash Withdrawal,Construction,South Africa,0,0,Low,3,2343
Switzerland,3732928.78,Cryptocurrency,Real Estate,USA,0,0,High,6,6350
USA,138534.76,Property Purchase,Luxury Goods,India,0,0,Low,4,4527
South Africa,2003073.83,Stocks Transfer,Oil & Gas,South Africa,0,0,High,1,9119
Brazil,636482.59,Stocks Transfer,Luxury Goods,Switzerland,0,0,High,6,8901
Singapore,3112429.84,Cash Withdrawal,Finance,India,0,0,High,4,1969
Brazil,1670684.04,Property Purchase,Arms Trade,Brazil,1,0,High,4,3970
Russia,4078053.49,Offshore Transfer,Arms Trade,India,0,0,High,2,277
USA,3349330.4,Property Purchase,Luxury Goods,Singapore,1,0,High,5,7201
Switzerland,2166266.21,Property Purchase,Real Estate,UK,1,0,Low,9,5507
Brazil,194883.53,Offshore Transfer,Finance,Singapore,0,1,Low,9,5023
Brazil,4915398.42,Offshore Transfer,Real Estate,China,0,0,Low,6,6022
South Africa,4449437.84,Cryptocurrency,Oil & Gas,UK,0,0,Low,2,9957
Russia,3561207.41,Property Purchase,Arms Trade,Brazil,0,0,High,1,5865
Singapore,1822863.78,Offshore Transfer,Casinos,Switzerland,0,0,High,6,7523
Russia,429257.56,Cash Withdrawal,Oil & Gas,Switzerland,0,0,High,8,7585
South Africa,3685838.72,Cryptocurrency,Oil & Gas,UK,1,0,High,0,6914
UK,1379283.36,Property Purchase,Luxury Goods,UK,0,0,Low,0,8563
USA,467400.13,Property Purchase,Casinos,Switzerland,1,0,Low,6,6404
Brazil,2094927.72,Cash Withdrawal,Construction,Switzerland,0,1,High,0,2371
Brazil,2446742.11,Stocks Transfer,Real Estate,South Africa,1,0,High,1,154
UK,222346.87,Property Purchase,Oil & Gas,Russia,0,0,High,2,3460
China,816341.76,Cryptocurrency,Construction,UAE,0,1,High,9,9277
UAE,4846290.89,Cryptocurrency,Real Estate,Singapore,0,0,Low,6,3469
USA,3943226.54,Stocks Transfer,Construction,UK,0,1,High,4,3155
South Africa,1825099.77,Cryptocurrency,Luxury Goods,Singapore,0,0,Low,5,7987
Russia,4728758.27,Property Purchase,Finance,China,0,0,Low,1,6402
Singapore,3091269.4,Cryptocurrency,Real Estate,India,0,0,High,0,9737
UAE,140267.33,Offshore Transfer,Casinos,India,0,0,High,8,7294
Switzerland,117179.48,Cryptocurrency,Arms Trade,UAE,1,0,Low,8,3476
UAE,1723234.93,Offshore Transfer,Oil & Gas,Singapore,0,1,Low,0,4248
Singapore,1370402.95,Stocks Transfer,Real Estate,Brazil,1,0,Low,4,6317
China,4069549.32,Offshore Transfer,Construction,China,0,0,Low,3,7083
UK,2852870.66,Stocks Transfer,Casinos,UAE,0,0,High,1,6508
USA,1742707.08,Stocks Transfer,Construction,Brazil,1,1,High,2,1982
UAE,2826484.31,Cryptocurrency,Luxury Goods,India,0,0,Low,1,3171
USA,4240908.23,Cryptocurrency,Construction,Singapore,0,0,High,5,1245
India,3569140.32,Cash Withdrawal,Finance,Singapore,0,0,High,9,1863
South Africa,2224623.09,Stocks Transfer,Luxury Goods,UK,0,0,High,8,2741
USA,1113509.67,Offshore Transfer,Arms Trade,South Africa,0,1,Low,1,2180
Switzerland,1937650.63,Offshore Transfer,Oil & Gas,Singapore,0,0,Low,8,8910
UAE,2660331.38,Cryptocurrency,Arms Trade,Brazil,0,0,High,1,1542
Switzerland,2424183.25,Cash Withdrawal,Finance,Russia,0,0,High,6,2850
Brazil,4369720.27,Stocks Transfer,Real Estate,Russia,0,0,High,6,6520
Brazil,927857.47,Property Purchase,Luxury Goods,Brazil,0,0,Low,8,2189
Brazil,3162415.95,Cryptocurrency,Arms Trade,Russia,0,1,Low,5,8037
Singapore,2116210.29,Offshore Transfer,Casinos,China,1,0,Low,8,254
Singapore,3604095.84,Offshore Transfer,Finance,USA,0,0,Low,4,8228
Switzerland,1006340.6,Cash Withdrawal,Casinos,UAE,0,0,Low,9,8804
USA,3833607.02,Cryptocurrency,Real Estate,India,0,1,High,9,5777
USA,2140808.89,Cash Withdrawal,Construction,Singapore,0,0,High,0,4744
UK,4659305.3,Cash Withdrawal,Finance,India,0,0,Low,8,6136
Switzerland,266320.26,Offshore Transfer,Finance,Singapore,0,0,High,8,3728
USA,2117426.75,Cash Withdrawal,Luxury Goods,Russia,1,0,High,6,2169
Switzerland,2949863.25,Cryptocurrency,Finance,USA,0,1,Low,1,7260
UK,4392522.8,Stocks Transfer,Real Estate,Switzerland,0,0,Low,6,8030
Russia,1159961.65,Offshore Transfer,Oil & Gas,Russia,0,0,Low,9,6650
South Africa,4851525.9,Offshore Transfer,Arms Trade,India,0,1,Low,0,343
South Africa,2745210.75,Cash Withdrawal,Finance,Switzerland,0,0,Low,1,5260
India,2293995.39,Offshore Transfer,Casinos,South Africa,0,0,High,8,7808
Brazil,4930926.21,Offshore Transfer,Arms Trade,South Africa,0,1,Low,6,7981
India,1964682.44,Stocks Transfer,Finance,India,0,0,High,0,5684
South Africa,3212226.95,Cryptocurrency,Oil & Gas,Russia,0,0,Low,9,5590
Singapore,218164.63,Property Purchase,Arms Trade,South Africa,0,0,Low,8,2615
UK,2940226.31,Offshore Transfer,Luxury Goods,Singapore,0,1,Low,7,562
Russia,1583996.97,Cash Withdrawal,Oil & Gas,South Africa,0,0,High,4,6942
Russia,4361629.06,Offshore Transfer,Finance,USA,1,0,Low,6,2379
Switzerland,2849534.38,Offshore Transfer,Casinos,India,1,0,Low,8,1629
Brazil,4580328.77,Cryptocurrency,Finance,UK,0,0,Low,6,3187
Russia,1540007.9,Stocks Transfer,Real Estate,UAE,0,0,Low,4,4186
Switzerland,3590894.23,Offshore Transfer,Luxury Goods,Singapore,0,0,Low,0,7430
Brazil,1546795.15,Property Purchase,Finance,UAE,0,0,High,3,8630
USA,2572222.64,Property Purchase,Arms Trade,India,1,0,Low,8,5921
UK,1734173.33,Cash Withdrawal,Real Estate,Russia,0,1,Low,5,4730
India,1357080.53,Stocks Transfer,Finance,UAE,0,0,Low,1,8288
Brazil,3126036.17,Cash Withdrawal,Construction,UAE,0,0,High,7,6542
UK,752155.01,Stocks Transfer,Oil & Gas,USA,0,0,High,9,4203
Switzerland,829250.55,Offshore Transfer,Real Estate,China,0,0,High,2,3485
South Africa,4778810.07,Cash Withdrawal,Casinos,Russia,0,1,High,4,1265
South Africa,1878294.28,Property Purchase,Real Estate,Singapore,0,0,Low,1,4042
UK,1505954.79,Property Purchase,Real Estate,USA,0,1,High,0,8351
Brazil,2513981.04,Offshore Transfer,Real Estate,China,0,1,High,7,2129
Singapore,1454754.07,Cash Withdrawal,Oil & Gas,USA,0,0,High,1,6182
Brazil,981563.3,Cash Withdrawal,Arms Trade,Russia,0,1,Low,2,844
USA,834866.18,Offshore Transfer,Finance,China,0,1,High,3,3423
Switzerland,4861577.91,Cash Withdrawal,Real Estate,India,0,1,Low,9,5206
UK,2422378.54,Cryptocurrency,Real Estate,Singapore,0,0,High,3,3991
USA,537465.52,Offshore Transfer,Luxury Goods,Singapore,1,0,High,2,6837
South Africa,2211820.19,Stocks Transfer,Luxury Goods,Singapore,0,0,High,6,7896
USA,509757.74,Property Purchase,Oil & Gas,UK,0,1,Low,1,7990
Brazil,3320911.97,Offshore Transfer,Oil & Gas,UK,0,0,Low,5,8114
Brazil,3024934.98,Cash Withdrawal,Oil & Gas,China,0,0,Low,9,4553
USA,1161130.08,Offshore Transfer,Real Estate,Singapore,0,0,High,7,5855
Singapore,431384.42,Offshore Transfer,Casinos,UK,1,0,High,1,3213
Russia,3557010.78,Cryptocurrency,Construction,China,0,0,High,8,8205
UAE,4304433.83,Offshore Transfer,Arms Trade,Switzerland,0,1,High,8,2953
USA,3892514.35,Property Purchase,Arms Trade,USA,0,0,Low,4,8655
UK,2142783.44,Cryptocurrency,Casinos,India,0,0,High,8,9519
USA,3872608.31,Cryptocurrency,Oil & Gas,India,0,0,Low,2,9839
Brazil,1160414.81,Cryptocurrency,Real Estate,Brazil,0,0,Low,6,5309
Singapore,3869064.81,Cryptocurrency,Arms Trade,South Africa,0,0,High,7,1009
South Africa,151210.88,Cryptocurrency,Construction,UAE,1,0,High,2,2618
Brazil,574190.9,Offshore Transfer,Construction,Russia,0,0,High,1,7777
Switzerland,4404295.08,Cash Withdrawal,Real Estate,China,1,1,High,0,7005
Singapore,1621179.23,Property Purchase,Oil & Gas,South Africa,1,0,High,3,4841
USA,4993865.17,Property Purchase,Real Estate,USA,1,1,High,8,8917
UAE,3457518.62,Offshore Transfer,Luxury Goods,South Africa,1,0,High,1,7936
UAE,4921148.34,Stocks Transfer,Luxury Goods,Singapore,0,0,High,0,7914
UK,1568987.79,Cryptocurrency,Arms Trade,Switzerland,1,1,Low,8,9995
Singapore,2991764.02,Cash Withdrawal,Luxury Goods,UK,0,0,High,1,9585
Singapore,2984801.1,Offshore Transfer,Finance,India,1,0,High,0,7073
Brazil,2410077.77,Cash Withdrawal,Construction,UAE,0,0,Low,6,9440
Brazil,4964627.76,Cryptocurrency,Construction,Switzerland,0,0,High,8,9673
Russia,703431.72,Property Purchase,Finance,Russia,0,0,High,8,3120
Brazil,383524.29,Offshore Transfer,Oil & Gas,UK,0,0,High,9,6662
India,3273053.35,Property Purchase,Arms Trade,Brazil,0,0,High,7,1658
Russia,4272752.34,Stocks Transfer,Finance,India,1,0,Low,1,8738
Switzerland,2409951.78,Cash Withdrawal,Finance,Brazil,0,0,High,6,5125
Switzerland,324729.83,Cash Withdrawal,Oil & Gas,UAE,0,0,High,5,891
